,uid,iid,r_ui,est,details
0,A6FIAB28IS79,B00004T1WU,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
1,A38QEATH3NODFM,B0002J288G,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
2,A1MJMYLRTZ76ZX,B00065DGNC,5.0,4.517857142857143,"{'actual_k': 0, 'was_impossible': False}"
3,A12DLJESJKM1OQ,B0000DBJJT,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
4,ABH9D1TEOJ56E,B0000C8627,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
5,A5JLAU2ARJ0BO,B000117DGW,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
6,AGHZXQL9F94T9,B0001A99MO,5.0,3.2549019607843137,"{'actual_k': 0, 'was_impossible': False}"
7,A680RUE1FDO8B,B000AM6QH4,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
8,A2CL818RN52NWN,B0002HVIBG,5.0,4.5227272727272725,"{'actual_k': 0, 'was_impossible': False}"
9,AKT8TGIT6VVZ5,B00009XVBU,5.0,4.783132530120482,"{'actual_k': 0, 'was_impossible': False}"
10,A3OXHLG6DIBRW8,B0007XGOW8,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
11,A1F9Z42CFF9IAY,B000BJSEQW,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
12,A7Y6AVS576M03,B00005A0QZ,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
13,A3OXHLG6DIBRW8,B000C8TSCQ,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
14,AGXV8E7XK9J6H,B000FKQ8LA,4.0,4.2894736842105265,"{'actual_k': 0, 'was_impossible': False}"
15,A15QYHQH80W30L,B000144I2Q,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
16,A149RNR5RH19YY,B00002EQCS,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
17,A2CL818RN52NWN,B0000E6S0Y,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
18,A1RPTVW5VEOSI,B00004S9WQ,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
19,A2AY4YUOX2N1BQ,B00064O8Z8,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
20,A3OXHLG6DIBRW8,B0000510ZO,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
21,A11D1KHM7DVOQK,B0001IXUEE,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
22,ALUNVOQRXOZIA,B0002EHOAS,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
23,AKT8TGIT6VVZ5,B0002CBE1K,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
24,A6FIAB28IS79,B0001YXWVO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
25,A1ODOGXEYECQQ8,B000GZ09YQ,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
26,A5JLAU2ARJ0BO,B00003G1RG,3.0,3.8677966101694916,"{'actual_k': 0, 'was_impossible': False}"
27,A2AY4YUOX2N1BQ,B000050ZS3,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
28,A1JWSDDIH5Z7DV,B0002KQR1O,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
29,A15QYHQH80W30L,B00015GYU4,5.0,4.348837209302325,"{'actual_k': 0, 'was_impossible': False}"
30,A2XRMQA6PJ5ZJ8,B000EPHR0C,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
31,A3NCIN6TNL0MGA,B0006GWY66,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
32,AT6CZDCP4TRGA,B0002KVQBA,2.0,3.4186046511627906,"{'actual_k': 0, 'was_impossible': False}"
33,A5JLAU2ARJ0BO,B000087KY5,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
34,AWPODHOB4GFWL,B0002MKBI2,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
35,A2AEZQ3DGBBLPR,B000063SAT,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
36,A25HBO5V8S8SEA,B00006B7WN,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
37,AT6CZDCP4TRGA,B0000C20T5,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
38,A203OCQQ12MAVT,B000H0011Q,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
39,AGXV8E7XK9J6H,B000EPHR0C,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
40,A25HBO5V8S8SEA,B0000TN0VW,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
41,A3OXHLG6DIBRW8,B0006B088W,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
42,AWPODHOB4GFWL,B000HLZXH2,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
43,A231WM2Z2JL0U3,B00004WIMW,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
44,A1ODOGXEYECQQ8,B0001FV36E,4.0,4.410256410256411,"{'actual_k': 0, 'was_impossible': False}"
45,A1JWSDDIH5Z7DV,B0007OW57K,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
46,A2AEZQ3DGBBLPR,B00065HMAA,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
47,A149RNR5RH19YY,B00005AW1H,3.0,3.816326530612245,"{'actual_k': 0, 'was_impossible': False}"
48,A25HBO5V8S8SEA,B00006B815,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
49,AT6CZDCP4TRGA,B0002WRGW6,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
50,A680RUE1FDO8B,B0006UMGHE,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
51,A5JLAU2ARJ0BO,B0007KQWF0,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
52,A5JLAU2ARJ0BO,B0000AN42F,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
53,AT2J7H5TRZM8Z,B00005B99P,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
